weather_label,temperature,temp_app,humidity,wind_vel,wind_dir,visibility,atm_pres
1,16.0611111111111,16.0611111111111,0.58,4.7817,212,9.9015,1024.37
0,13.8166666666667,13.8166666666667,0.31,20.769,282,11.4954,1017.78
0,12.2888888888889,12.2888888888889,0.42,7.889,236,9.982,1020.96
0,21.1111111111111,21.1111111111111,0.38,23.3289,299,9.982,1009.09
0,12.1722222222222,12.1722222222222,0.32,30.5739,329,11.2056,0
0,10.8888888888889,10.8888888888889,0.58,23.2967,319,11.27,1010.76
1,10.0722222222222,10.0722222222222,0.71,15.6009,351,11.2056,1014.64
0,14.8833333333333,14.8833333333333,0.31,17.1143,12,9.982,1020.53
0,15.1388888888889,15.1388888888889,0.43,8.9838,342,11.4954,1024.38
0,17.2,17.2,0.41,7.4221,60,9.982,1022.81
0,17.8944444444444,17.8944444444444,0.35,16.8889,29,9.982,1017.15
0,17.7555555555556,17.7555555555556,0.6,4.5885,314,11.2056,1021.42
0,18.9277777777778,18.9277777777778,0.39,13.8943,11,9.982,1018.71
2,22.2,22.2,0.37,7.6636,177,9.982,1019.74
2,22.3166666666667,22.3166666666667,0.33,14.1036,159,9.982,1015.76
0,21.1833333333333,21.1833333333333,0.38,21.5096,179,9.982,1016.64
1,17.6166666666667,17.6166666666667,0.38,15.4721,170,11.2056,1017.38
0,19.9055555555556,19.9055555555556,0.4,15.617,149,9.982,1018.05
0,18.9611111111111,18.9611111111111,0.35,9.7083,82,9.982,1016.05
0,20.95,20.95,0.33,8.9355,176,10.2557,1014.2
1,17.3055555555556,17.3055555555556,0.53,8.9838,139,11.2056,1013.39
0,20.05,20.05,0.49,7.9212,117,11.27,1011.5
0,18.8166666666667,18.8166666666667,0.47,8.1788,32,11.2056,1016.92
0,20.9277777777778,20.9277777777778,0.53,10.9319,188,11.27,1009.28
0,18.9333333333333,18.9333333333333,0.31,4.7817,161,9.982,1014.87
0,11,11,0.78,24.4237,349,11.27,1022.89
0,17.2,17.2,0.38,10.8192,340,9.982,1026.31
0,21.0888888888889,21.0888888888889,0.57,21.8477,291,11.27,1020.4
1,16.0166666666667,16.0166666666667,0.27,49.3948,300,9.982,1014.29
0,17.1055555555556,17.1055555555556,0.31,39.7509,320,9.982,1011.33
0,21.2055555555556,21.2055555555556,0.73,12.88,310,11.27,1013.17
0,22.5944444444444,22.5944444444444,0.51,17.6939,320,11.4954,1018.38
0,22.1277777777778,22.1277777777778,0.46,7.9856,273,9.982,1020.53
0,26.0666666666667,26.0666666666667,0.44,4.2665,87,9.982,1014.92
0,27.7555555555555,28.0666666666667,0.49,2.4794,71,10.0464,1011.22
0,28.8166666666667,29.3055555555556,0.49,5.0232,308,9.982,1011.91
0,30.0222222222222,29.7333333333333,0.4,9.1609,141,9.982,1012.09
0,27.1055555555556,27.9222222222222,0.56,13.0571,282,11.27,1015.93
0,27.2,27.6777777777778,0.51,10.7065,350,11.27,1017.92
2,28.9611111111111,28.3222222222222,0.37,10.3684,20,9.982,1018.9
2,32.2,31.0388888888889,0.3,12.8639,161,9.982,1017.37
0,24.8833333333333,24.8833333333333,0.69,7.5187,333,11.27,1016.22
0,29.8833333333333,29.5944444444444,0.4,14.5222,328,9.982,1020.33
2,28.7722222222222,27.5777777777778,0.28,3.1073,36,9.982,1021.05
2,31.0611111111111,30.1277777777778,0.33,1.9964,193,9.982,1019.48
2,32.8277777777778,32.0666666666667,0.32,9.4024,114,9.982,1019.06
2,34.95,34.3388888888889,0.29,11.0124,149,9.982,1015.58
0,35.9944444444444,36.0222222222222,0.29,0.4025,349,9.982,1014.1
2,33.8666666666667,34.9277777777778,0.39,21.8155,151,9.982,1015.25
2,31.0888888888889,30.0611111111111,0.32,28.2555,140,9.982,1013.95
0,25.9722222222222,25.9722222222222,0.44,3.1556,236,9.982,1019.13
