weather_label,temperature,temp_app,humidity,wind_vel,wind_dir,visibility,atm_pres
0,17.2444444444444,17.2444444444444,0.41,14.8281,10,16.1,1012.66
0,13.7944444444444,13.7944444444444,0.43,17.871,319,15.8263,1016.34
0,13.8166666666667,13.8166666666667,0.51,20.0123,10,10.2557,1018.05
0,14.9722222222222,14.9722222222222,0.42,4.4436,183,9.982,1017.68
0,17.2222222222222,17.2222222222222,0.38,7.7119,315,10.2557,1016.18
0,17.8611111111111,17.8611111111111,0.37,17.5812,241,10.2557,1013.75
0,11.1388888888889,11.1388888888889,0.5,31.2823,321,10.2557,1014.08
0,12.1555555555556,12.1555555555556,0.5,26.7421,19,9.982,1017.76
0,12.0222222222222,12.0222222222222,0.74,22.0248,31,10.2557,1015.3
0,17.2,17.2,0.58,11.2539,10,16.1,1007.24
0,17.2722222222222,17.2722222222222,0.51,9.3863,111,10.2557,1004.65
1,17.7,17.7,0.43,3.1234,345,16.1,1013.81
0,14.0055555555556,14.0055555555556,0.71,15.456,130,9.982,1010.37
0,20.0222222222222,20.0222222222222,0.53,15.7297,139,9.982,1009.98
0,16.0388888888889,16.0388888888889,0.79,3.2683,209,9.6117,1012.88
0,19.9277777777778,19.9277777777778,0.64,9.2253,0,9.982,1017.54
1,17.2444444444444,17.2444444444444,0.8,7.7441,11,9.982,1013.02
1,16.0166666666667,16.0166666666667,0.79,14.1519,169,9.8049,1013.57
0,17.8222222222222,17.8222222222222,0.53,12.397,158,9.982,1013.77
0,20.0222222222222,20.0222222222222,0.44,17.5812,140,10.2557,1009.75
0,21.0166666666667,21.0166666666667,0.42,7.3899,280,16.1,1006.2
0,20.0888888888889,20.0888888888889,0.53,5.0232,32,9.982,1006.31
0,17.9166666666667,17.9166666666667,0.46,12.719,211,16.1,1011.52
0,18.0111111111111,18.0111111111111,0.72,8.6457,212,10.2557,1007.2
0,19.9666666666667,19.9666666666667,0.45,8.9999,161,16.1,1009.18
1,14.2055555555556,14.2055555555556,0.87,12.4775,61,9.982,1009.98
1,12.15,12.15,0.72,11.1895,179,10.2557,1018.97
0,15.1555555555556,15.1555555555556,0.62,11.109,50,9.982,1019.71
0,20.0444444444444,20.0444444444444,0.44,12.6546,207,16.1,1017.94
1,12.8277777777778,12.8277777777778,0.45,31.9424,311,10.2557,1016.97
0,27.2,28.3611111111111,0.6,4.7656,2,9.982,1010.02
0,28.7111111111111,29.2722222222222,0.5,9.7405,200,9.982,1016
0,29.9944444444444,32.5055555555556,0.58,12.6224,180,9.982,1012.77
0,27.6611111111111,28.3388888888889,0.53,10.9802,291,15.8263,1013.72
0,30.9,33.5722222222222,0.55,10.5777,170,9.982,1010.03
0,23.6333333333333,23.6333333333333,0.54,23.2967,349,9.982,1010.11
0,23.7944444444444,23.7944444444444,0.58,7.5187,281,9.982,1013.72
0,22.6388888888889,22.6388888888889,0.48,17.5812,319,10.2557,1015.25
0,22.2222222222222,22.2222222222222,0.49,11.0768,318,10.2557,1016.73
0,23.9555555555556,23.9555555555556,0.35,9.3863,199,16.1,1015.48
0,25.0666666666667,25.0666666666667,0.5,9.821,191,16.1,1013.97
0,29.9277777777778,30.6666666666667,0.48,7.567,9,9.982,1011.13
0,26.0611111111111,26.0611111111111,0.44,7.7763,66,15.8263,1013.73
0,19.75,19.75,0.84,11.2378,262,9.982,1014.39
0,22.6333333333333,22.6333333333333,0.51,10.7709,43,10.2557,1018.02
0,25.95,25.95,0.42,3.4132,97,15.8263,1015.51
0,21.1166666666667,21.1166666666667,0.59,31.4272,291,9.982,1013.04
0,19.9055555555556,19.9055555555556,0.38,9.2253,309,16.1,1020.8
0,24.7666666666667,24.7666666666667,0.48,17.2109,199,16.1,1011.3
0,21.0277777777778,21.0277777777778,0.8,9.8371,252,9.982,1010.09
0,21.1111111111111,21.1111111111111,0.42,4.6529,327,16.1,1020.48
0,22.8,22.8,0.38,9.4185,121,16.1,1020.99
0,29.8833333333333,30.4166666666667,0.47,1.8676,198,16.1,1012.62
0,25.0222222222222,25.0222222222222,0.42,12.3487,110,16.1,1018.8
0,27.15,26.7222222222222,0.35,15.0696,140,16.1,1014.21
0,22.7555555555555,22.7555555555555,0.73,3.3327,162,9.982,1014.41
0,27.7111111111111,28.55,0.55,8.05,359,9.982,1012.24
1,22.1166666666667,22.1166666666667,0.77,0.8211,26,9.982,1011.46
0,24.8388888888889,24.8388888888889,0.65,4.8139,305,9.982,1012.64
0,26.0611111111111,26.0611111111111,0.58,4.2504,192,9.982,1014.29
0,27.7777777777778,27.7388888888889,0.44,4.6368,214,9.982,1015.29
1,4.76111111111111,1.51666666666666,0.87,14.7154,98,9.6761,1015.75
1,3.86666666666667,0.744444444444446,0.82,12.8156,319,9.982,1021.59
1,3.93333333333333,1.22777777777778,0.75,10.787,212,15.8263,1019.98
0,1.52777777777778,-2.06666666666667,0.98,12.6546,180,0.9982,1022.29
0,7.8,4.92222222222222,0.71,17.3075,170,8.1305,1020.71
0,9.11111111111111,6.77777777777778,0.76,15.4077,161,8.1305,1022.23
1,8.86666666666667,7.11111111111111,0.72,11.0446,169,7.0357,1022.76
0,7.77777777777778,5.36111111111111,0.76,13.7494,140,15.7297,1016.1
2,7.75,5.95555555555556,0.89,10.0303,290,3.3649,0
2,7.82777777777778,5.60555555555556,0.76,12.558,212,7.2128,0
2,9.03888888888889,6.63333333333333,0.83,15.8746,202,7.084,0
1,3.77222222222222,1.27777777777778,0.92,9.7083,89,9.7083,1013.71
2,11.1111111111111,11.1111111111111,0.56,25.8888,319,9.982,0
2,7.25,3.04444444444444,0.6,29.4147,320,9.982,0
2,6.11111111111111,3.46666666666667,0.7,12.88,220,0,0
2,11.1111111111111,11.1111111111111,0.61,17.9354,270,0,0
2,10,7.8,0.77,16.1,210,0,0
2,8.88888888888889,6.85,0.71,12.8639,261,0,0
2,6.06111111111111,1.67777777777778,0.65,27.37,309,9.982,0
2,0,-3.56666666666667,0.47,11.0768,289,0,0
0,-2.17222222222222,-8.10555555555556,0.95,20.9461,31,1.2236,1006.4
